ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
142,Head First Java,Kathy Sierra# Bert Bates,,$26.97 ,$19.99 ,,9.7806E+12,978-0596009205,Head First Series,"O'Reilly Media, Incorporated",,"64,950",720,8.00(w) x 9.25(h) x 1.48(d)
143,"CompTIA Security+ All-in-One Exam Guide, Fourth Edition (Exam SY0-401)",Wm. Arthur Conklin# Greg White# Dwayne Williams# Chuck Cothren,,,$34.99 ,,9.78007E+12,978-0071837354,,McGraw-Hill Education,,"509,013",704,
144,A+ Guide to Managing & Maintaining Your PC (with Printed Access Card) / Edition 8,Jean Andrews,$101.80 ,,,,9.78113E+12,978-1133135081,,Cengage Learning,,"75,999",1344,8.80(w) x 11.00(h) x 1.80(d)
145,Etsy Excellence: The Simple Guide to Creating a Thriving Etsy Business,Tycho Press,,$12.99 ,$6.99 ,,2.94015E+12,294-0150820050,,Callisto Media Inc.,,"73,039",128,
146,CompTIA A+ 220-801 and 220-802 Authorized Exam Cram,David L. Prowse,,$26.99 ,$20.99 ,,9.78079E+12,978-0789749710,,Pearson IT Certification,,,727,6.00(w) x 8.90(h) x 1.70(d)
147,Adobe Photoshop CS6 Classroom in a Book / Edition 1,Adobe Creative Team,,$30.33 ,,,9.78032E+12,978-0321827333,Classroom in a Book Series,Adobe Press,,"70,865",432,9.10(w) x 7.28(h) x 0.73(d)
148,iPhone 6 User's Manual: Tips and Tricks to Unleash the Power of Your Smartphone! (includes iOS 8),Shelby Johnson,,,,,2.94005E+12,294-0046275438,,RAM Internet Media,,"71,072",,
149,What Is HTML5?,Brett McLaughlin,,,,,9.78145E+12,978-1449314491,,"O'Reilly Media, Incorporated",,"75,399",10,
150,Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,Bruce Schneier,$17.91 ,$12.42 ,$14.49 ,,9.78039E+12,978-0393244816,,"Norton, W. W. & Company, Inc.",,"79,533",400,6.50(w) x 9.30(h) x 1.40(d)
151,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,$19.22 ,,$16.49 ,$62.97 ,9.78047E+12,978-0465065707,,Basic Books,,"74,543",352,6.30(w) x 9.30(h) x 1.30(d)
152,ITIL Foundation Exam Study Guide,Liz Gallacher# Helen Morris,,$31.41 ,$20.99 ,,9.78112E+12,978-1119942757,,Wiley,,"74,586",408,7.10(w) x 9.10(h) x 0.40(d)
153,"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",Erik Brynjolfsson# Andrew McAfee,$16.35 ,$10.86 ,$12.99 ,$29.99 ,9.78039E+12,978-0393239355,,"Norton, W. W. & Company, Inc.",,"72,690",320,6.30(w) x 9.30(h) x 0.90(d)
154,Murach's HTML5 and CSS3,Zak Ruvalcaba# Anne Boehm,,$34.42 ,,,9.78189E+12,978-1890774660,,"Murach, Mike & Associates, Inc.",,"77,367",656,8.03(w) x 9.94(h) x 1.61(d)
155,"Web Design with HTML, CSS, JavaScript and jQuery Set",Jon Duckett,$50.73 ,$41.74 ,,,9.78112E+12,978-1118907443,,Wiley,,"68,648",1152,7.40(w) x 9.30(h) x 2.20(d)
156,Medical Billing and Coding For Dummies,Karen Smiley,,$14.88 ,$12.99 ,,9.78112E+12,978-1118982549,For Dummies Series,Wiley,,"77,260",360,7.30(w) x 9.20(h) x 0.60(d)
157,Kindle Fire HD For Dummies,Nancy C. Muir,,$17.45 ,$2.99 ,,9.78112E+12,978-1118422236,For Dummies Series,Wiley,,"68,624",288,7.30(w) x 9.00(h) x 0.70(d)
158,CompTIA Network+ N10-006 Exam Cram,Emmett Dulaney,,$32.90 ,$20.99 ,,9.78079E+12,978-0789754103,Exam Cram Series,Pearson IT Certification,,"74,563",648,6.00(w) x 8.90(h) x 1.50(d)
159,"Exploring: Microsoft Excel 2013, Comprehensive / Edition 1",Mary Anne Poatsy# Keith Mulbery# Jason Davidson# Robert T. Grauer,,,,,9.78013E+12,978-0133412185,Exploring for Office 2013 Series,Prentice Hall,,"76,018",736,8.80(w) x 10.80(h) x 1.10(d)
160,Computer Networking: A Top-Down Approach / Edition 6,James F. Kurose# Keith W. Ross,$128.74 ,,,,9.78013E+12,978-0132856201,,Pearson,,"74,672",864,7.50(w) x 9.30(h) x 1.40(d)
161,How to Start a High Earning Blog,Alex Hughes,,,,,2.94005E+12,294-0045788403,,Alex Hughes,,"70,949",,
162,Godel Escher Bach: An Eternal Golden Braid,Douglas R. Hofstadter,,$16.30 ,,,9.78047E+12,978-0465026562,Art of Mentoring Series,Basic Books,,"78,795",800,9.04(w) x 10.88(h) x 1.71(d)
163,Adobe Photoshop CC Classroom in a Book,Kordes Adobe Creative Team,,$42.74 ,$27.99 ,,9.78013E+12,978-0133924442,,Adobe Press,,"75,217",384,7.30(w) x 9.10(h) x 0.80(d)
164,Excel 2013 Power Programming with VBA,John Walkenbach,,$31.28 ,$25.99 ,,9.78112E+12,978-1118490396,Mr. Spreadsheet's Bookshelf Series,Wiley,,"82,801",1104,7.40(w) x 9.20(h) x 2.30(d)
165,"Minecraft Ultimate Guide: Minecraft Tips, Hints and Ultimate Redstone Guide (Speedy Boxed Sets): Game Strategy and Guide",Speedy Publishing,,,,,9.78163E+12,978-1632874474,,Speedy Publishing LLC,,"75,606",103,
166,"New Perspectives on Microsoft Office 2013, First Course",Ann Shaffer,,,,,9.78129E+12,978-1285167640,New Perspectives Series,Cengage Learning,,"75,802",1144,8.50(w) x 10.80(h) x 1.60(d)
167,"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly",David Meerman Scott, ,$13.21 ,$13.49 , ,9.78112E+12,978-1118488768,,Wiley,,"75,888",464,5.90(w) x 9.00(h) x 1.40(d)
168,The Art of Watching Films / Edition 8,Dennis Petrie# Joe Boggs,,$136.84 ,,,9.78007E+12,978-0073386171,,McGraw-Hill Higher Education,,"78,084",528,7.30(w) x 9.00(h) x 1.00(d)
169,Building a Gaming Computer,Bellerophon08,,,,,2.94004E+12,294-0044422780,,Bellerophon08,,"75,347",,
170,Turing: The Tragic Life of Alan Turing,Fergus Mason,,$7.99 ,$2.99 ,,2.94015E+12,294-0149751921,,BookCaps Study Guides,,"76,388",,
171,"Let's Get Digital: How to Self-Publish, and Why You Should",David Gaughran,,$14.95 ,$4.99 ,,9.78148E+12,978-1475212600,,CreateSpace Publishing,,"418,540",286,5.50(w) x 8.50(h) x 0.60(d)
172,Cisco CCNA Routing and Switching ICND2 200-101 Official Cert Guide,Wendell Odom,$27.44 ,,$18.49 ,,9.78159E+12,978-1587143731,Official Cert Guide Series,Cisco Press,,"78,880",717,7.70(w) x 9.20(h) x 1.80(d)
173,The Organization Of Information / Edition 3,Arlene G. Taylor# Daniel N. Joudrey,$65.00 ,$50.00 ,,,9.78159E+12,978-1591587002,Library and Information Science Text Series,"ABC-CLIO, Incorporated",,"81,286",540,7.00(w) x 9.90(h) x 1.30(d)
174,Management Information Systems for the Information Age / Edition 9,Stephen Haag# Maeve Cummings,,$184.21 ,,,9.78007E+12,978-0073376851,,McGraw-Hill Professional Publishing,,"66,040",608,8.40(w) x 10.80(h) x 0.90(d)
175,Steve Jobs,W. Isaacson# Walter Isaacson,,$25.04 ,$9.99 ,,9.78225E+12,978-2253168522,,Livre de Poche,,,952,4.30(w) x 6.90(h) x 0.90(d)
176,WordPress for Small Business: Easy Strategies to Build a Dynamic Website with WordPress,Scott Wison,,,,,2.94015E+12,294-0150969025,,Callisto Media Inc.,,"77,135",115,
177,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,$21.57 ,,$13.99 ,$11.55 ,9.7802E+12,978-0199678112,,Oxford University Press,,"79,565",352,6.30(w) x 9.30(h) x 0.70(d)
178,Head First PMP,Jennifer Greene# Andrew Stellman,,$42.45 ,$31.99 ,,9.78145E+12,978-1449364915,,"O'Reilly Media, Incorporated",,"77,336",894,8.00(w) x 9.25(h) x 1.78(d)
179,Excel 2010 Power Programming with VBA / Edition 1,John Walkenbach,,$28.12 ,$25.99 ,,9.78047E+12,978-0470475355,Mr. Spreadsheet's Bookshelf Series,Wiley,,"83,624",1080,7.30(w) x 9.20(h) x 2.30(d)
180,Minecraft Cheats : 70 Top Essential Minecraft Cheats Guide Exposed!,Jason Scotts,,,,,9.78163E+12,978-1631877308,,Speedy Publishing LLC,,"77,574",26,
181,What is DevOps?,Mike Loukides,,,,,9.78145E+12,978-1449339111,,"O'Reilly Media, Incorporated",,"73,418",15,
183,Easy Windows 10,Mark Edward Soper,,$19.42 ,$11.99 ,,9.78079E+12,978-0789754530,Easy Series,Que,,"71,341",504,7.90(w) x 9.90(h) x 1.00(d)
184,Pokemon Omega Ruby & Pokemon Alpha Sapphire: The Official Hoenn Region Strategy Guide,Pokemon Company International,,,,,9.7811E+12,978-1101898208,,"Random House, Inc.",,"72,007",480,
185,iPad For Seniors For Dummies,Nancy C. Muir,,$20.99 ,$12.99 ,,9.78112E+12,978-1118944387,For Dummies Series,Wiley,,"75,841",416,7.40(w) x 9.10(h) x 0.90(d)
186,Artificial Intelligence: A Modern Approach / Edition 3,Stuart Russell# Peter Norvig,$149.37 ,,,,9.78014E+12,978-0136042594,Prentice Hall Series in Artificial Intelligence,Pearson,,"85,515",1132,8.30(w) x 10.10(h) x 1.80(d)
187,Introducing Windows 8.1 for IT Professionals,Ed Bott,, ,$0.00 ,,9.78074E+12,978-0735684676,Introducing,Pearson Education,,"74,749",140,
188,"Odd Girl Out, Revised and Updated: The Hidden Culture of Aggression in Girls",Rachel Simmons, ,$10.51 ,$9.99 , ,9.78055E+12,978-0547520193,,Houghton Mifflin Harcourt,,"79,569",432,
189,Slide:ology: The Art and Science of Creating Great Presentations,Nancy Duarte,,$20.99 ,,,9.7806E+12,978-0596522346,,"O'Reilly Media, Incorporated",,"79,602",296,8.90(w) x 8.90(h) x 0.60(d)
190,"Launch: An Internet Millionaire's Secret Formula To Sell Almost Anything Online, Build A Business You Love, And Live The Life Of Your Dreams",Jeff Walker,$28.17 ,$10.28 ,$8.49 ,$14.99 ,9.78163E+12,978-1630470173,,Morgan James Publishing,,"73,343",206,6.00(w) x 8.80(h) x 0.60(d)
191,Introducing Windows Server 2012 R2,Mitch Tulloch# Windows Server Team,,,,,9.78074E+12,978-0735682795,Introducing,Pearson Education,,"68,153",242,
192,The Big Disconnect: Protecting Childhood and Family Relationships in the Digital Age,Catherine Steiner-Adair,$18.82 ,$11.10 ,$11.88 ,,9.78006E+12,978-0062082435,,HarperCollins Publishers,,"87,361",384,5.30(w) x 7.80(h) x 0.60(d)
193,"Growth Hacker Marketing: A Primer on the Future of PR, Marketing, and Advertising",Ryan Holiday,,$7.86 ,$9.99 ,,9.78159E+12,978-1591847380,,Penguin Publishing Group,,"85,403",144,
194,"CompTIA Linux+ Powered by Linux Professional Institute Study Guide: Exam LX0-103 and Exam LX0-104 , 3rd Edition",Christine Bresnahan# Richard Blum,,$37.02 ,$31.49 ,,9.78112E+12,978-1119021216,,Wiley,,"85,424",696,7.30(w) x 9.20(h) x 1.60(d)
195,"iCloud: for iPhone, iPad, iPod, Mac and Windows",Johann Szierbeck# Anton Ochsenkühn,,,,,9.78395E+12,978-3954311217,,Amac-Buch Verlag,,"69,245",193,
196,How To Make A Batch Game In Notepad,L J Fung,,,,,2.94005E+12,294-0046070361,,L J Fung,,"81,725",,
197,Mastering Excel Macros: Introduction,Mark Moore,,,,,2.94005E+12,294-0046327472,Mastering Excel Macros,Mark Moore,,"81,677",,
198,Learning Python,Mark Lutz,,$41.91 ,$27.49 ,,9.78145E+12,978-1449355739,,"O'Reilly Media, Incorporated",,"81,927",1540,7.00(w) x 9.20(h) x 2.80(d)
199,Computer Organization and Design: The Hardware/Software Interface / Edition 5,David A. Patterson,,$75.74 ,,,9.78012E+12,978-0124077263,Morgan Kaufmann Series in Computer Architecture and Design Series,Elsevier Science,,"77,431",800,7.40(w) x 9.10(h) x 1.30(d)
200,Selling on Shopify: How to Create an Online Store & Profitable eCommerce Business with Shopify,Brian Patrick,,,,,2.94005E+12,294-0045974288,,GR Media,,"84,887",,
201,20 Windows Tools Every SysAdmin Should Know,Power Admin,,,,,2.94004E+12,294-0044549326,,Power Admin,,"65,037",,
202,Avatar Collectors Vault Book 3D,Whitman Publishing,$7.18 ,,,,9.78162E+12,978-1616855963,,Whitman Publishing,,"82,656",144,10.80(w) x 15.20(h) x 1.40(d)
203,The Soul of A New Machine,Tracy Kidder, ,$10.25 ,$9.99 , ,9.78032E+12,978-0316491976,,"Little, Brown and Company",,"115,621",320,5.50(w) x 8.25(h) x 0.75(d)
204,Office 365: Migrating and Managing Your Business in the Cloud,Matt Katzer# Don Crawford,,$34.42 ,$0.00 ,,9.78143E+12,978-1430265269,,Apress,,"633,431",680,7.50(w) x 9.10(h) x 1.50(d)
205,Word 2013 For Dummies,Dan Gookin,,$18.68 ,$12.99 ,,9.78112E+12,978-1118491232,For Dummies Series,Wiley,,"83,554",408,7.30(w) x 9.10(h) x 1.00(d)
206,Excel 2010 Bible,John Walkenbach,,$28.69 ,$23.49 ,,9.78047E+12,978-0470474877,Bible Series,Wiley,,"76,624",1056,7.40(w) x 9.30(h) x 2.30(d)
207,Introduction to Algorithms / Edition 3,Thomas H. Cormen# Ronald L. Rivest# Charles E. Leiserson# Clifford Stein,$79.15 , ,$74.39 ,,9.78026E+12,978-0262533058,,MIT Press,,,1312,
208,"Microsoft Office 2013: Illustrated Introductory, First Course",David W. Beskeen,$110.07 ,,,,9.78129E+12,978-1285088488,Illustrated Series,Cengage Learning,,"300,797",728,8.40(w) x 10.90(h) x 1.20(d)
209,Microsoft Azure Essentials - Fundamentals of Azure,Michael Collier# Robin Shahan,,,,,9.78074E+12,978-0735697300,,Pearson Education,,"91,764",246,
210,Bubble Witch Saga 2 Game: Guide With Extra Bubble Tips!,RAM Internet Media,,,,,9.7815E+12,978-1501457470,,RAM Internet Media,,"76,824",,
211,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,$17.51 ,$10.13 ,$9.99 ,$19.56 ,9.78032E+12,978-0316219280,,"Little, Brown and Company",,"84,413",416,5.40(w) x 8.20(h) x 1.20(d)
212,C++ Primer / Edition 5,Stanley B. Lippman# Josee Lajoie# Barbara E. Moo,,$44.20 ,$44.79 ,,9.78032E+12,978-0321714114,,Addison-Wesley,,"84,534",976,9.20(w) x 7.00(h) x 2.10(d)
213,Python Programming: An Introduction to Computer Science / Edition 2,John M. Zelle,,$27.00 ,,,9.78159E+12,978-1590282410,,"Franklin, Beedle & Associates, Incorporated",,"84,551",514,
214,Upgrading and Repairing PCs,Scott M. Mueller,$38.53 ,$30.11 ,$27.99 ,,9.78079E+12,978-0789756107,Upgrading and Repairing Series,Que,,"88,215",1176,7.40(w) x 9.30(h) x 2.60(d)
215,"Java, Sixth Edition: A Beginner's Guide / Edition 6",Herbert Schildt,,$21.83 ,$22.99 ,,9.78007E+12,978-0071809252,Beginner's Guide Series,McGraw-Hill Professional Publishing,,"88,274",728,7.10(w) x 9.00(h) x 1.60(d)
216,CCNA Routing and Switching Portable Command Guide / Edition 3,Scott Empson,,$19.10 ,$16.49 ,,9.78159E+12,978-1587204302,Portable Command Guide Series,Cisco Press,,"85,419",292,5.90(w) x 8.90(h) x 0.80(d)
217,Design Patterns: Elements of Reusable Object-Oriented Software / Edition 1,Erich Gamma# Richard Helm# Ralph Johnson# John M. Vlissides,$37.88 ,,$38.39 ,,9.7802E+12,978-0201633610,Addison-Wesley Professional Computing Series,Addison-Wesley,,"85,471",416,7.75(w) x 9.75(h) x 1.25(d)
218,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,$18.38 ,$12.39 ,$11.99 ,,9.78077E+12,978-0770436193,,Crown/Archetype,,"273,398",448,7.90(w) x 5.20(h) x 1.00(d)
219,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin Mitnick, ,$10.89 ,$9.99 , ,9.78032E+12,978-0316037723,,"Little, Brown and Company",,"107,440",448,5.40(w) x 8.20(h) x 1.20(d)
221,CNC Programming Handbook: A Comprehensive Guide to Practical CNC Programming / Edition 3,Peter Smid,$52.80 ,,,,9.78083E+12,978-0831133474,,"Industrial Press, Inc.",,"86,428",600,7.80(w) x 10.10(h) x 1.30(d)
222,The Linux Command Line Beginner's Guide,Jonathan Moeller,,,,,2.94001E+12,294-0013997042,Computer Beginner's Guides,Jonathan Moeller,,"88,478",,
223,World of Warcraft: Dawn of the Aspects: Part I,Richard A. Knaak,,,,,9.78142E+12,978-1416550693,,Pocket Star,,"86,863",90,
224,Teach Yourself VISUALLY Windows 8.1,Paul McFedries,,$21.31 ,$15.99 ,,9.78112E+12,978-1118826232,Teach Yourself VISUALLY (Tech) Series,Wiley,,"92,219",352,7.30(w) x 9.10(h) x 0.90(d)
225,"Hacking Exposed 7 Network Security Secrets & Solutions: Network Security Secrets and Solutions, Seventh Edition / Edition 7",Stuart McClure# Joel Scambray# George Kurtz,,$29.80 ,$37.50 ,,9.78007E+12,978-0071780285,Hacking Exposed Series,McGraw-Hill Professional Publishing,,"87,319",768,7.30(w) x 9.10(h) x 1.50(d)
226,"Candy Crush Saga: The Sweet, Tasty, Divine and Delicious Playing Guide for Candy Crush Saga - How to Install and Play with Tips, Tricks and Hints!",Jack Tyson,,,,,2.94015E+12,294-0149104192,,Jack Tyson,,"90,694",,
227,Blogging Made Easy - For Any Business,Greg Reed,,,,,2.94015E+12,294-0151719759,,Greg Reed,,"87,833",,
228,WordPress Made Super Simple - How Anyone Can Build A Professional Looking Website From Scratch: Even A Total Beginner,Jack Davies,,,,,2.94005E+12,294-0046291087,Super Simple,"Do-Not Press, The",,"87,810",,
229,"Like, Follow, Share: Awesome, Actionable Social Media Marketing to Maximize Your Online Potential",Suse Barnes,,,,,2.94015E+12,294-0151390217,,Callisto Media Inc.,,"88,078",249,
230,"The Start-up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",Reid Hoffman# Ben Casnocha,$14.60 , ,$13.99 , ,9.78031E+12,978-0307888907,,Crown Religion/Business/Forum,,"88,250",272,5.84(w) x 8.52(h) x 1.01(d)
231,E-Book Formatting for Novelists: A step-by-step guide for the independent novelist or small press,K. C. May,,,,,2.94004E+12,294-0044596665,,K.C. May,,"88,934",,
232,Adobe Photoshop Lightroom CC / Lightroom 6 Book: The The Complete Guide for Photographers,Martin Evening,,$43.03 ,$27.99 ,,9.78013E+12,978-0133929232,,Pearson Education,,"110,873",744,
233,Excel 2013 Bible,John Walkenbach,,$31.20 ,$25.99 ,,9.78112E+12,978-1118490365,Bible Series,Wiley,,"81,126",1056,7.30(w) x 9.20(h) x 2.40(d)
234,Windows 8.1 For Seniors For Dummies,Peter Weverka# Mark Justice Hinton,,$20.00 ,$12.99 ,,9.78112E+12,978-1118821497,For Dummies Series,Wiley,,"89,130",384,7.30(w) x 9.20(h) x 0.80(d)
235,Access 2013 Bible,Michael Alexander# Dick Kusleika,,$31.60 ,,,9.78112E+12,978-1118490358,Bible Series,Wiley,,"92,340",1296,7.40(w) x 9.00(h) x 1.70(d)
236,Presentation Zen: Simple Ideas on Presentation Design and Delivery / Edition 2,Garr Reynolds,,$18.92 ,$15.49 ,,9.78032E+12,978-0321811981,Voices That Matter Series,New Riders,,"92,361",296,7.52(w) x 9.10(h) x 0.72(d)
237,Essential Scrum: A Practical Guide to the Most Popular Agile Process / Edition 1,Kenneth S. Rubin,,$32.80 ,$31.99 ,,9.78014E+12,978-0137043293,Addison-Wesley Signature Series (Cohn) Series,Addison-Wesley,,"89,244",504,7.00(w) x 9.10(h) x 1.10(d)
238,What's New in Flash Player 11,Joseph Labrecque,,,,,9.78145E+12,978-1449325428,,"O'Reilly Media, Incorporated",,"89,623",74,
239,C++ How to Program: Late Objects Version / Edition 7,Paul Deitel# Harvey Deitel,,,,,9.78013E+12,978-0132165419,,Prentice Hall,,"89,872",960,7.00(w) x 9.10(h) x 1.20(d)
240,Introduction to Computer Security,Michael Goodrich# Roberto Tamassia,$118.58 ,,,,9.78032E+12,978-0321512949,Pearson Custom Computer Science Series,Pearson,,"90,069",576,8.20(w) x 10.10(h) x 1.40(d)
241,How to create your own apps business: Making money by selling your apps on the Intel AppUp (SM) center,Intel,,,,,2.94003E+12,294-0032979111,,Intel,,"90,516",,
242,The New New Thing: A Silicon Valley Story,Michael Lewis,$24.29 ,$11.80 ,$10.49 ,$9.84 ,9.78039E+12,978-0393347814,,"Norton, W. W. & Company, Inc.",,"231,496",272,10.10(w) x 6.70(h) x 1.20(d)
243,The E-Term Dictionary,James Halpin,,,,,2.94015E+12,294-0151666398,,James Halpin,,"96,114",,
244,Office 365 For Dummies,Ken Withee,,$19.73 ,$12.99 ,,9.78112E+12,978-1118104507,For Dummies Series,Wiley,,"75,900",336,7.30(w) x 9.10(h) x 0.80(d)
245,C Programming Language / Edition 2,Brian W. Kernighan# Dennis Ritchie# Dennis M. Ritchie, ,$52.89 ,$43.19 ,,9.78013E+12,978-0131103627,Software Series,Prentice Hall,,"91,341",272,7.00(w) x 9.20(h) x 0.80(d)
246,Android on x86: An Introduction to Optimizing for Intel Architecture,Iggy Krajci# Darren Cummings,,$39.99 ,$0.00 ,,9.78143E+12,978-1430261308,,Apress,,,380,6.00(w) x 9.00(h) x 0.85(d)
247,QuickBooks 2015 For Dummies,Stephen L. Nelson,,$21.03 ,$13.99 ,,9.78112E+12,978-1118920152,,Wiley,,"92,201",408,9.20(w) x 7.30(h) x 0.90(d)
248,Exam Ref 70-410: Installing and Configuring Windows Server 2012 R2,Craig Zacker,,$29.22 ,$18.49 ,,9.78074E+12,978-0735684249,Exam Ref Series,Microsoft Press,,"92,353",416,7.40(w) x 8.90(h) x 1.00(d)
249,Programming in C / Edition 4,Stephen G. Kochan,,$31.57 ,$31.99 ,,9.78032E+12,978-0321776419,Developer's Library Series,Addison-Wesley,,"92,385",600,7.00(w) x 8.90(h) x 1.20(d)
250,The Most Human Human: What Artificial Intelligence Teaches Us About Being Alive,Brian Christian, ,$10.39 ,$13.99 ,,9.78031E+12,978-0307476708,,Knopf Doubleday Publishing Group,,"92,392",320,5.24(w) x 8.56(h) x 0.48(d)
251,"Pmp Exam Prep Questions, Answers, & Explanations",Christopher Scordo,,$44.13 ,$24.95 ,,9.78098E+12,978-0982576809,,SSI Logic,,"99,472",428,8.00(w) x 10.00(h) x 0.87(d)
252,Genetic Algorithms,Isuru Abeysinghe,,,,,2.94004E+12,294-0044718715,,Isuru Abeysinghe,,"92,842",,
253,Windows 10 For Dummies Book + Online Videos Bundle,Andy Rathbone,,,,,9.78112E+12,978-1119049326,,Wiley,,"93,025",432,7.50(w) x 9.20(h) x 0.90(d)
254,The Art of Social Media: Power Tips for Power Users,Guy Kawasaki# Peg Fitzpatrick,$14.57 ,,$12.99 ,,9.78159E+12,978-1591848073,,Penguin Publishing Group,,"111,952",208,
255,Office 2013 All-In-One For Dummies,Peter Weverka,,$24.44 ,$18.49 ,,9.78112E+12,978-1118516362,For Dummies Series,Wiley,,"93,220",816,7.30(w) x 9.20(h) x 1.60(d)
256,The Singularity Is Near: When Humans Transcend Biology,Ray Kurzweil, ,$15.11 ,$17.99 , ,9.78014E+12,978-0143037880,,Penguin Publishing Group,,"99,215",672,
257,The Linux Command Line: A Complete Introduction,William E.# Jr. Shotts Jr.,,$26.43 ,$18.49 ,,9.78159E+12,978-1593273897,,"No Starch Press San Francisco, CA",,"93,383",480,7.00(w) x 9.20(h) x 1.20(d)
