"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"
"104","Electronics Sensors for the Evil Genius: 54 Electrifying Projects","Thomas Petruzzellis","$0.00","1st Edition","","978-0071470360","0071470360","330 pages","Evil Genius","McGraw-Hill/TAB Electronics; 1 edition (January 20, 2006)","","","","","English","8.4 x 0.4 x 10.8 inches","1.6 pounds"
"105","Programming and Customizing the PIC Microcontroller (Tab Electronics)","Myke Predko","$32.78","3rd Edition","","978-0071472876","0071472878","1263 pages","Tab Electronics","McGraw-Hill Education TAB; 3 edition (October 16, 2007)","","","","","English","7.4 x 1.8 x 9.2 inches","4.1 pounds (View shipping rates and policies)"
"106","CNET Do-It-Yourself Camera and Music Phone Projects: 24 Cool Things You Didn't Know You Could Do!","Ari Hakkarainen","$23.28","","","","","","","","","","","","","",""
"107","Session Initiation Protocol (SIP): Controlling Convergent Networks (McGraw-Hill Communication Series)","Travis Russell","$71.19","1st Edition","","978-0071488525","0071488529","","McGraw-Hill Communication Series","McGraw-Hill Education; 1 edition (June 30, 2008)","","","","","English","7.6 x 0.9 x 9.5 inches","1.5 pounds (View shipping rates and policies)"
"108","Microsoft Windows Server 2008 Administration","Steve Seguis","$35.39","1st Edition","","978-0071493260","0071493263","488 pages","","McGraw-Hill Education; 1 edition (March 13, 2008)","","","","","English","7.3 x 1 x 9.1 inches","1.6 pounds (View shipping rates and policies)"
"109","Microsoft® Office SharePoint® Server 2007: The Complete Reference","David Sterling","$41.60","1st Edition","","978-0071493284","007149328X","788 pages","The Complete Reference","McGraw-Hill Education; 1 edition (October 16, 2007)","","","","","English","7.3 x 1.6 x 9.1 inches","2.9 pounds (View shipping rates and policies)"
"110","Hacking Exposed Web 2.0: Web 2.0 Security Secrets and Solutions","Rich Cannings; Himanshu Dwivedi; Zane Lackey; Himanshu Dwivedi; Jesse Burns; Zane Lackey; Alex Stamos; Jesse Burns; Chris Clark; Alex Stamos","$31.51","1st Edition","","978-0071494618","0071494618","258 pages","Hacking Exposed","McGraw-Hill Education; 1 edition (January 7, 2008)","","","","","English","7.3 x 0.6 x 9 inches","1.1 pounds (View shipping rates and policies)"
"111","Ace the IT Interview (Ace the It Job Interview)","Paula Moreira","$19.01","2nd Edition","","978-0071495783","0071495789","296 pages","Ace the It Job Interview","McGraw-Hill Education; 2 edition (January 1, 2008)","","","","","English","8 x 0.7 x 10 inches","1.3 pounds (View shipping rates and policies)"
"112","How to Do Everything with Online Video","Andrew Shalat","$19.99","1st Edition","","978-0071496438","0071496432","270 pages","How to Do Everything","McGraw-Hill Education; 1 edition (December 10, 2007)","","","","","English","7.3 x 0.6 x 8.9 inches","1 pounds (View shipping rates and policies)"
"113","The Musician's Guide to Pro Tools","John Keane","$24.49","2nd Edition","","978-0071497428","0071497420","363 pages","","McGraw-Hill Osborne Media; 2 edition (September 25, 2007)","","","","","English","7.2 x 0.8 x 9 inches","1.4 pounds"
"114","How to Do Everything with Your iPhone","Jason Chen; Adam Pash","$16.08","1st Edition","","978-0071497909","0071497900","296 pages","How to Do Everything","McGraw-Hill Education; 1 edition (December 11, 2007)","","","","","English","7.2 x 0.7 x 8.9 inches","1.2 pounds (View shipping rates and policies)"
"115","eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers (2nd Edition) (v. 2)","Debra Schepp; Brad Schepp","$20.73","","","","","","","","","","","","","",""
"116","Successful Business Intelligence: Secrets to Making BI a Killer App","Cindi Howson","$22.99","1st Edition","","978-0071498517","0071498516","","","McGraw-Hill Osborne Media; 1 edition (November 26, 2007)","","","","","English","6.4 x 0.7 x 9.4 inches","1.2 pounds"
"117","How to Make Money with Your Blog: The Ultimate Reference Guide for Building, Optimizing, and Monetizing Your Blog","Duane Forrester; Gavin Powell","$15.15","1st Edition","","978-0071508575","0071508570","256 pages","How to Make . . .","McGraw-Hill Education; 1 edition (January 7, 2008)","","","","","English","5.9 x 0.6 x 8.9 inches","11.2 ounces (View shipping rates and policies)"
"118","Switch-Mode Power Supplies Spice Simulations and Practical Designs","Christophe Basso","$81.90","1st Edition","","978-0071508582","0071508589","","","McGraw-Hill Professional; 1 edition (February 4, 2008)","","","","","English","6.3 x 1.5 x 9.3 inches","2.7 pounds"
"119","Nintendo Wii Flash Game Creator's Guide: Design, Develop, and Share Your Games Online","Todd Perkins","$32.00","","","","","","","","","","","","","",""
"120","Nintendo Wii Flash Game Creator's Guide: Design, Develop, and Share Your Games Online","Todd Perkins","$32.00","","","","","","","","","","","","","",""
"121","Robot Programmer's Bonanza","John Blankenship; Samuel Mishal","$17.60","1st Edition","","978-0071547970","0071547975","396 pages","","McGraw-Hill Education TAB; 1 edition (June 2, 2008)","","","","","English","7.2 x 1 x 8.9 inches","1.6 pounds (View shipping rates and policies)"
"122","SAP® NetWeaver Portal Technology: The Complete Reference","Rabi Jay","$25.15","1st Edition","","978-0071548533","007154853X","735 pages","","McGraw-Hill Education; 1 edition (June 25, 2008)","","","","","English","7.2 x 1.5 x 9 inches","3.4 pounds (View shipping rates and policies)"
"123","SAP® NetWeaver Portal Technology: The Complete Reference","Rabi Jay","$25.15","1st Edition","","978-0071548533","007154853X","735 pages","","McGraw-Hill Education; 1 edition (June 25, 2008)","","","","","English","7.2 x 1.5 x 9 inches","3.4 pounds (View shipping rates and policies)"
"124","ENTERPRISE 2.0 IMPLEMENTATION: Integrate Web 2.0 Services into Your Enterprise","Aaron Newman; Jeremy Thomas","$30.49","1st Edition","","978-0071591607","0071591605","406 pages","","McGraw-Hill Education; 1 edition (September 25, 2008)","","","","","English","7.3 x 0.9 x 9.1 inches","1.6 pounds (View shipping rates and policies)"
"125","Teach Yourself Basic Mac Skills (Teach Yourself: Computers)","Rod Lawton","$3.90","1st Edition","","978-0071598415","0071598413","256 pages","Teach Yourself","McGraw-Hill; 1 edition (April 23, 2008)","","","","","English","5.1 x 0.7 x 7.8 inches","8 ounces"
"126","MCTS Windows Server 2008 Active Directory Services Study Guide (Exam 70-640) (SET)","Dennis Suhanovs","$28.99","1st Edition","","978-0071599276","0071599274","600 pages","","McGraw-Hill Education; 1 edition (November 17, 2008)","","","","","English","7.3 x 1.2 x 9 inches","2.2 pounds (View shipping rates and policies)"
"127","CISSP All-in-One Exam Guide, Fifth Edition","Shon Harris","$46.49","5th Edition","","978-0071602174","0071602178","","All-in-One","McGraw-Hill Osborne Media; 5 edition (January 15, 2010)","","","","","English","7.7 x 2.5 x 9.4 inches","5 pounds"
"128","How to Do Everything: Adobe Illustrator CS4","Sue Jenkins","$23.49","1st Edition","","978-0071603102","0071603107","384 pages","","McGraw-Hill Osborne Media; 1 edition (March 30, 2009)","","","","","English","0.8 x 7.5 x 9.2 inches","1.4 pounds (View shipping rates and policies)"
"129","The Race for Perfect:  Inside the Quest to Design the Ultimate Portable Computer","Steve Hamm","$0.04 - $35.00","1st Edition","","978-0071606103","0071606106","","","McGraw-Hill Education; 1 edition (October 15, 2008)","","","","","English","6.2 x 1.1 x 8.9 inches","1.3 pounds (View shipping rates and policies)"
"130","OCA Oracle Database SQL Certified Expert Exam Guide (Exam 1Z0-047) (Oracle Press)","Steve O'Hearn","$34.93","1st Edition","","978-0071614214","0071614214","796 pages","Oracle Press","McGraw-Hill Education; 1 edition (December 23, 2009)","","","","","English","7.5 x 1.7 x 9.2 inches","3 pounds (View shipping rates and policies)"
"131","Mike Meyers' CompTIA Network+ Guide to Managing and Troubleshooting Networks Lab Manual, Second Edition","Michael Meyers","$9.99 - $19.95","2nd Edition","","978-0071615266","0071615261","352 pages","","McGraw-Hill Osborne Media; 2 edition (September 16, 2009)","","","","","English","8.1 x 0.7 x 11.3 inches","1.7 pounds"
"132","CWTS Certified Wireless Technology Specialist Study Guide (Exam PW0-070)","Tom Carpenter","$28.98","1st Edition","","978-0071615341","0071615342","656 pages","","McGraw-Hill Education; 1 edition (October 22, 2009)","","","","","English","7.4 x 1.1 x 9.2 inches","1.9 pounds (View shipping rates and policies)"
"133","CAPM/PMP Project Management Certification All-in-One Exam Guide with CD-ROM, Second Edition","Joseph Phillips","$31.51","2nd Edition","","978-0071632997","0071632999","","All-in-One","McGraw-Hill Osborne Media; 2 edition (September 22, 2009)","","","","","English","7.7 x 1.4 x 9.2 inches","2.6 pounds"
"134","Principles of Computer Security, CompTIA Security+ and Beyond, Second Edition (Mike Meyers' Computer Skills)","Wm. Arthur Conklin; Gregory White; Dwayne Williams; Gregory White; Roger Davis; Dwayne Williams; Chuck Cothren; Roger Davis; Corey Schou; Chuck Cothren","$29.95","2nd Edition","","978-0071633758","0071633758","730 pages","Mike Meyers' Computer Skills","McGraw-Hill Osborne Media; 2 edition (December 18, 2009)","","","","","English","8.5 x 1 x 10.8 inches","3.2 pounds"
"135","Principles of Digital Audio, Sixth Edition (Digital Video/Audio)","Ken Pohlmann","$31.00","6th Edition","","978-0071663465","0071663460","816 pages","Digital Video/Audio","McGraw-Hill Education TAB; 6 edition (October 7, 2010)","","","","","English","7.4 x 1.1 x 9.3 inches","3.6 pounds (View shipping rates and policies)"
"136","Security Information and Event Management (SIEM) Implementation (Network Pro Library)","David R. Miller; Shon Harris; Allen Harper; Stephen VanDyke; Allen Harper; Chris Blask; Stephen VanDyke","$34.23","1st Edition","","978-0071701099","0071701095","464 pages","Network Pro Library","McGraw-Hill Education; 1 edition (November 15, 2010)","","","","","English","7.3 x 0.8 x 9.1 inches","1.8 pounds (View shipping rates and policies)"
"137","Computer-Aided Drug Design and Delivery Systems","Ahindra Nag; Baishakhi Dey","$107.20","1st Edition","","978-0071701242","0071701249","","","McGraw-Hill Education; 1 edition (September 2, 2010)","","","","","English","6.3 x 0.8 x 9.3 inches","1 pounds (View shipping rates and policies)"
"138","CISSP Practice Exams","Shon Harris","$24.23","1st Edition","","978-0071701396","0071701397","414 pages","","McGraw-Hill Osborne Media; 1 edition (July 9, 2010)","","","","","English","7.4 x 0.9 x 9.2 inches","1.2 pounds"
"139","CompTIA A+ Certification Study Guide, Seventh Edition (Exam 220-701 & 220-702) (Certification Press)","Jane Holcombe; Charles Holcombe","$28.99","7th Edition","","978-0071701457","0071701451","","Certification Press","McGraw-Hill Osborne Media; 7 edition (April 28, 2010)","","","","","English","7.7 x 2.1 x 9.2 inches","4 pounds"
"140","Mike Meyers' CompTIA A  Guide to Managing & Troubleshooting PCs Lab Manual, Third Edition (Exams 220-701 & 220-702) (Mike Meyers' Computer Skills)","Michael Meyers","$22.72","3rd Edition","","978-0071702997","0071702997","560 pages","Mike Meyers' Computer Skills","McGraw-Hill Osborne Media; 3 edition (April 22, 2010)","","","","","English","8.4 x 1.1 x 10.9 inches","2.8 pounds"
"141","IT Security Metrics: A Practical Framework for Measuring Security & Protecting Data","Lance Hayden","$25.18","1st Edition","","978-0071713405","0071713409","396 pages","","McGraw-Hill Education; 1 edition (July 12, 2010)","","","","","English","7.3 x 0.8 x 9.1 inches","1.4 pounds (View shipping rates and policies)"
"142","CWNA Certified Wireless Network Administrator & CWSP Certified Wireless Security Professional All-in-One Exam Guide (PW0-104 & PW0-204)","Tom Carpenter","$44.30","1st Edition","","978-0071713887","0071713883","","All-in-One","McGraw-Hill Education; 1 edition (June 11, 2010)","","","","","English","7.6 x 1.9 x 9.4 inches","3.6 pounds (View shipping rates and policies)"
"143","The Hyper-Social Organization: Eclipse Your Competition by Leveraging Social Media","Francois Gossieaux; Ed Moran","$24.11","","","","","","","","","","","","","",""
"144","Oracle CRM On Demand Deployment Guide (Oracle Press)","Jeff Saenger; Tim Koehler; Louis Peters; Tim Koehler","$33.15","","","","","","","","","","","","","",""
"145","Mike Meyers CompTIA A+ Guide: Essentials Lab Manual, Third Edition (Exam 220-701) (Mike Meyers' Computer Skills)","Michael Meyers","$30.00","3rd Edition","","978-0071736428","0071736425","320 pages","Mike Meyers' Computer Skills","McGraw-Hill Osborne Media; 3 edition (June 22, 2010)","","","","","English","8.5 x 0.7 x 11 inches","1.6 pounds"
"146","Mike Meyers' CompTIA A+ Guide: Practical Application Lab Manual, Third Edition (Exam 220-702) (Mike Meyers' Computer Skills)","Michael Meyers","$30.00","3rd Edition","","978-0071736459","007173645X","320 pages","Mike Meyers' Computer Skills","McGraw-Hill Osborne Media; 3 edition (July 13, 2010)","","","","","English","8.4 x 0.6 x 10.8 inches","1.6 pounds (View shipping rates and policies)"
"147","Mike Meyers' CompTIA A+ Guide: Practical Application, Third Edition (Exam 220-702) (Mike Meyers' Computer Skills)","Michael Meyers","$48.00","3rd Edition","","978-0071738699","007173869X","592 pages","Mike Meyers' Computer Skills","McGraw-Hill Osborne Media; 3 edition (June 30, 2010)","","","","","English","8.3 x 1 x 10.9 inches","2.6 pounds"
"148","NetBeans IDE Programmer Certified Expert Exam Guide (Exam 310-045) (Certification Press)","Robert Liguori; Ryan Cuprak","$28.99","1st Edition","","978-0071738804","0071738800","685 pages","Certification Press","McGraw-Hill Education; 1 edition (August 17, 2010)","","","","","English","7.4 x 1.4 x 9.2 inches","2.6 pounds (View shipping rates and policies)"
"149","CTS Certified Technology Specialist Exam Guide","Sven Laurik; InfoComm International","$40.49","1st Edition","","978-0071739191","007173919X","","All-In-One","McGraw-Hill Osborne Media; 1 edition (June 6, 2011)","","","","","English","7.7 x 1.4 x 9.3 inches","2.5 pounds"
"150","Get Started with Computing Windows 7 Edition: A Teach Yourself Guide (Teach Yourself: Computers)","Moira Stephen","$5.95","1st Edition","","978-0071739979","0071739971","320 pages","Teach Yourself","McGraw-Hill; 1 edition (April 20, 2010)","","","","","English","5.1 x 1 x 7.8 inches","15.2 ounces"
"151","Project Management for Healthcare Information Technology","Scott Coplan; David Masuda","$38.83 - $53.27","1st Edition","","978-0071740531","0071740538","288 pages","","McGraw-Hill Education; 1 edition (February 22, 2011)","","","","","English","7.4 x 0.7 x 9.3 inches","1 pounds (View shipping rates and policies)"
"152","Designing an IAM Framework with Oracle Identity and Access Management Suite (Oracle Press)","Jeff Scheidel","$23.74","1st Edition","","978-0071741378","0071741372","368 pages","Oracle Press","McGraw-Hill Education; 1 edition (August 16, 2010)","","","","","English","7.4 x 0.8 x 9.2 inches","1.4 pounds (View shipping rates and policies)"
"153","Computer Forensics InfoSec Pro Guide","David Cowen","$21.38","1st Edition","","978-0071742450","007174245X","344 pages","","McGraw-Hill Education; 1 edition (April 9, 2013)","","","","","English","0.8 x 7.8 x 9 inches","1.2 pounds (View shipping rates and policies)"
